Text,Sub-task A
"RECENT PROTESTS r GLIMPSE of civil war which may start in next 10 yrs..  
1\. what is degree of preparedness of HINDU?  
2\. BJP govt is vital in STATE to curb JEHAD.  
3.NIA need to eliminate DIRECTORS of such show..  
  
But HINDU is worried about 100 rs onion, free electricity, GST..",CAG
"Government waiting to interfere with all it's intelligence to keep her mouth
shut for ever",CAG
"You are here to review the film, performance of the actors, direction etc not
to justify the characters. Don't drag the feminist and liberals issues
everywhere.",CAG
"Stop giving more views or reviews and publicity on Kabir Singh..it has already
got too much .. it's enough.. it is not at all worth giving so much importance",CAG
"Totally waste of time.... This is not a movie review, not at all.",CAG
"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster.",CAG
"Good, ok homosexuality is legalised, but don't showcase in in by public, be
normal like every other human being, if you have to do, go together in a room.
But don't act like despo. In public it looks odd and ugly",CAG
"After so many days I see this chutyia face. wow yar u are remain same chutiya
as much as you were before. Get well soon.",CAG
"I don't know y I think she don't know hw to sing bt I respect poor people n I
don't like attitude",CAG
"Also it depends on the audience how they take the movie. Actor was a freak and
because of that he had to deal with the repercussions but people fail to see
that but condone the dominant behavior of the actor. Also don't count every
feminist in that stupid category. I appreciate the romance but not the madness
after breakup.",CAG
"There is nothing that I can consider as dance. It seems gradually after few
moments someone feels chulkani & khauzani.",CAG
"bro bro....😂😂😂just try and replace the girl with ur sister or anyone close to
ya..",CAG
good women is converted to evil by insensible indian law,CAG
congratulations!! Drink some soy milk beta male libtard.,CAG
"Item songs are ruining our culture.
1 girl is dancing among too many men. It's a so pathetic. and insult of women.",CAG
"This film about gay people is rubbish. How could you come up with a horrific
video like this. Shame on you.",CAG
is she a lady or some witch?,CAG
"She wants to handicap the system and then ask why there is loopholes in the
system. Shame on so called ""intellectuals"".",CAG
If man thinks without any involvement of sex the world would be different,CAG
"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster.",CAG
"Awesome tha sir loved it  
these so called famists are ruining the value of relationship and meaning of
commitment",CAG
"Do you know what feminism really is????? I think you are only aware about the
pseudo feminism.and you think that feminists are doing bad for society??
Really?!!!😂😂",CAG
"I am a man but I am a lesbian by heart and I was born like that. So, any
lesbian girl, who'll be interested?",CAG
"bro bro....😂😂😂just try and replace the girl with ur sister or anyone close to
ya..",CAG
"Tht uncle who is shown at
[0:52](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=0m52s) looks like those
uncle pedo's who fucks lil boys from his family.",CAG
We should never suppress a totally depraved wacko like Arundati!,CAG
Lunatic Fringe of Far Left .......a Waco,CAG
who cares activists......Don't give them too much emphasis on them....,CAG
Bakwas movie..bt Shahid Kapoor's acting was fantastic,CAG
"First stop aborting and killing daughters before birth and stop throughing
them in dustbins then you will have many people for trying",CAG
"First of all we have to watch movie for entertainment only..every time we
can’t judge movie if we are not getting anything from it(i am talking about
individual)..i am agree with Shwetabh bhai for some opinion but Kabir Singh
has lots of other elements to analyse..Basically movie main character ke point
of view se dikhayi hai aur movie dekh ke hum apana dimag kharab kar rahe then
i am sorry hum movie aur real life ko samaz nhi rahe hai..you have to be very
practical about yourself,society,movie and reviews like this..end of the day
life money pe chalti hai not these movie..again person to person differ karta
hai..it’s not about right or wrong but different perception only.",CAG
"true, Kabir Singh is such a trash movie......I truly judge everyone who likes
this movie",CAG
Feminists = Modern age facists,CAG
"Proud of Being a Muslim and a Pakistani.Indian Human are out of my mind...LOL  
Pakistan Zindabad",CAG
"I saw the movie last week with my family and considered it a complete waste of
my time. The movie had no story, the acting was horrendous, and in the end it
promoted a negative message that your can completely destroy your life for one
person and still come out a winner. Utter bakwas. I give it 1/10 at best.",CAG
"You are not wrong, you are just ignorant.",CAG
"@S Srikant Patnaik having a sick mentality and having the grasp of reality are
two different things my friend. In a society where patriarchal values r deep
rooted & most of the young males r brought up with a sense of superiority,
their ideas about the female psyche r already warped, plus most guys don't
have first hand experience at interacting with girls. Where do they learn from
then? Movies r one of these sources. Tell me, if u were the girl on the
receiving end of unwanted & obsessive love, would u accept it just because the
guy is crazy about u? I'm not saying Kabir singh is a bad movie, I'm saying
that not everyone would take the right message from it.",CAG
"feminists talk about rights all the time it would be awesome feminists as well
as non feminist also talk about responsibilities",CAG
"Dear youtube,  
  
  
Please develop some ways so that we can give more than one like to some
videos..... I was in dire need of giving more than one like here ... because,
this man made me think to sense and he leaves no stone unturned to expose the
shallow and misinterpreted HEROISM ... !",CAG
"Even when kabir singh was unaware that Preeti is having his son he was ready
to accept other's baby and was ready to give his name though that was his baby
but still he was ready to accept preeti even after thinking she has sex with
other guy and feminists would not see this.",CAG
"Are u a Movie reviewer ?? Or social activist ??? Pls review Movie keeping your
political and social agenda aside",CAG
"Liquor should be totally banned. Administration and police must be strict and
such actions should be dealt with iron hand. People should be alert and aware.
Bengal is fast becoming hell.",CAG
"r they hero nd heroine,how peculiar they r ravish!!! from india",CAG
good women is converted to evil by insensible indian law,CAG
"When a rape scene is shown in the film, feminist and liberals may be sleeping.
Very strange, so called item songs with cheap words don't come to their
notice,",CAG
You are also not totally pure. You are exaggerating so much.,CAG
sotti great roasted i have ever seen,CAG
"Yes his license cancelled for five years but is that enough for all his
negligence",CAG
"who in their right mind likes another man's defecation whole that is
disgusting if you're gay smell your hand after you take a dump and tell me
that's what you love sick fucks",CAG
ravish Kumar doesn't know the ABC of journalism,CAG
"1.4 dislikes,omg!! Feminist and liberals are triggered very badly😫😠😠😠😠",CAG
"If you are a man then you are a fool of india..now women are fighting for
men...do you know that?",CAG
"What you can’t stand someone trying restart their life. I think you’re fucking
jealous",CAG
"Well why can't u grasp that a guy can live however he wants, I myself would
wear t-shirts & shorts to jobs instead of formal shirts as we can do what's
comfortable & why can't a guy be topper? I pump & dump girls with consent yet
never got less than 75% ever, well in those days seniors were respected like
teachers & could do whatever they wanted with juniors so that's why juniors
were treated like that in this movie",CAG
congratulations!! Drink some soy milk beta male libtard.,CAG
so now boys will also be raped in India😂??,CAG
"I was very curious about the way this film became so famous so thought of
watching when it premiered in tv.
I got bored by interval.
I am really shocked how this movie was liked by so many people.
I agree with you this movie is far from reality and this feminist arguments
are also senseless.
I didnt like it a bit ya seriously.",CAG
"Yes correct. North india is the hell on earth. South India is heaven on earth.
Proud to be a south Indian. Hate north india",CAG
"As long as India entertains Bangladesh we will have such problems.
The names of the accused shows how one religion that wants to impose their
teachings on the society, itself is corrupted.
This case really shook me. WB administration also did not support the common
man, whether it was madhyamgram, kamduni or park street case.
I m ashamed",CAG
"So you seriously went from women who don't like the movie to women who want
equality and dived right into liberalism??? Wow and confirmed all by yourself
that all that rape allegations on army men are wrong ! I am not saying I'd it
happened or not but wow mr_three_eyed_raven you confirmed it! Thanks",CAG
"Arujdati Roy is a cocaine addict . she's only doing it for money to buy more ,
because she ran outta money . such a pity.. take her to deaddiction centre .",CAG
"after 75 years of loot, someone is trying to do something good. it sems doing
good for the country is unforgivable, specifically if its modi. who is this
arundhati roy, what is she? what makes her think that she is an activist?
shame shame.",CAG
"I can relate this to some extent with us. I don't understand the motive of
this type of girl and their parents. They themselves are parents how they can
be like this....? How they inspire their kids to torture other fr no reason.
What is the purpose of their life???? It's beyond my understanding.",CAG
"@Parcheta प्रचेता no you are not alien, everyone is different in one way or
the other.",CAG
"I don't know y I think she don't know hw to sing bt I respect poor people n I
don't like attitude",CAG
congratulations!! Drink some soy milk beta male libtard.,CAG
That is not ranus fault that is her education fault,CAG
Hate ads between video... 😏,CAG
"Bhai bahut sahi Kaha aapne. Liberals and feminists have become clowns of the
world. They have problem with everything. I'm a big fan of you and your
honesty.",CAG
Bull shit,CAG
She is totally mad,CAG
Yes so ppl like u can take dowry with an open hand.,CAG
"Bhai bahut sahi Kaha aapne. Liberals and feminists have become clowns of the
world. They have problem with everything. I'm a big fan of you and your
honesty.",CAG
Respect others..,CAG
"Where is review  
You are totally correct but talk about movie,acting and direction",CAG
who cares activists......Don't give them too much emphasis on them....,CAG
"1 feminist is on trending list , this is reply to her & u nailed it sir",CAG
"Man I couldn’t agree more.. each n every word wch u said here is the same
thing I thought wen des so called feminists wer barking..!!",CAG
"Some people don't like good things don't think about them  
Who speard negative feedback",CAG
"RECENT PROTESTS r GLIMPSE of civil war which may start in next 10 yrs..  
1\. what is degree of preparedness of HINDU?  
2\. BJP govt is vital in STATE to curb JEHAD.  
3.NIA need to eliminate DIRECTORS of such show..  
  
But HINDU is worried about 100 rs onion, free electricity, GST..",CAG
"This likes short movies inhanse the crimes so cheap india and cheap their
movies",CAG
"l g b t is not gud for anyone because the meke a very bad desses Wich harmful
for non LGBT its too dangerous for comen people",CAG
"Yes correct. North india is the hell on earth. South India is heaven on earth.
Proud to be a south Indian. Hate north india",CAG
"Kabir Singh is a black spot on Shahid Kapoor's career. After cult movies like
udta Punjab and Haider. we had a lot of expectations from him. But
disappointed.",CAG
"After so many days I see this chutyia face. wow yar u are remain same chutiya
as much as you were before. Get well soon.",CAG
"@Meghna S you are mixing things..Sanju was a biography.. And the director had
to show Sanjay duty's life.. so ppl have truly criticised Sanjay dutt for
doing wot ever he has done in lyf.. But this one is a fictional movie.. Here
director had the scope to show wot ever he wanted to show..  
Working with mass media is a great responsibility.. Director s should be more
careful about that.  
Are regarding hypocrisy.. we should learn to respect every kind of opinion..
judging people's opinion and tagging them with names are unnecessary..  
This channel specifically is to review movies and we all come here for that..
Do you really think this kind of vedio was necessary??  
Or shall we take it as a paid publicity stunt!!!!",CAG
"We all knew that the movie was a little over the top. The main issue was the
selective outrage from the Feminist brigade. They critise certain movies that
potray male lead characters as Dominant and vile. But at the same time they
encourage toxic female behaviours in movies . Who treat Their male
counterparts as DOG SHIT  
  
We somehow had to defend Kabir Singh  
There was no other way around",CAG
"Every one knows what is the agenda Arundhati Roy, stop acting like you believe
that people like her have faith in democracy. And for heaven sake, call a
spade a spade. What I find amusing is even journalist have Thier biases
whether left, right or center, we open a channel and we know what to expect
from the anchor and this needs to change please give news not opinions, having
said that people have high hopes on Lallantop 🙏",CAG
"true, Kabir Singh is such a trash movie......I truly judge everyone who likes
this movie",CAG
"This is the result of a false dowry case.I SALUTE THAT GUYES. He taken a good
stape",CAG
I think it's not movie review only lecture on feminism...🤐🤐🤐,CAG
@ajay singh By using this trick they are trying to divide us..,CAG
I disageee with you on this one..,CAG
"It seems you didnt understand ""Kabir Singh"". Also, it looks like you lack
basic knowledge to review a movie. Kabir Singh is a powerful movie. I know it
has got its own faults but nevertheless a very raw movie. Also some points
raised by you are valid where as others are just bullshit. We Indians like to
watch stories of others, especially love stories. If you want to watch real
stories then better stick to news channels,NGC,discovery and documentaries
etc. Kabir Singh is an offbeat manic love story which you cudn't understand.
Watch the movie once more you will get answers to your questions.",CAG
She is not a sane person...She wants to break india.,CAG
who cares activists......Don't give them too much emphasis on them....,CAG
"What nonsense.
The illiterate people have ethics. The ones who are brainwashed with all the
shit going arround in the world, might be the ones who are physopaths.
But none, with some sense, like violence agains any kind. So stop assuming
bulshit.",CAG
"To be honest. Your thinking is your own opinion.. it does not mean it is
fact/reality. though i respect your opinion i think u shuld also learn to
respect other opinions as well.",CAG
"@Nitya SG yup I know hence I didn't focus much about the movie other than just
stating there's nothing about domestic violence or assault but yeah just
protagonist having rage & ruining his own life with it that's it..!! Anyways
good u understood as there r people biased with ideologies like its fair to
fight with siblings but not with our counterpart whom we r in relationship
with which I don't understand as both r loved ones & we can be however we want
as long as there's understanding",CAG
"I agree with this girl's comment if God does not punish them then who are you
people pandits and molvi sahab's do it secretly and padri sahabs does it
inside churches world wide hahaha hypocrites",CAG
Hate ads between video... 😏,CAG
@Pratik Borade Lekin Pratik sir I am against glorifying him,CAG
"The problem is not the slap scene... the problem is glorification of it!!! And
on top of it in your own words you said that it is not necessary that men
should always be portrayed as saints in movies accordingly it is not necessary
that women should be projected as pure and innocent! Since men have enjoyed
the screen space in movies from the inception of movies and gotten away with
projected as heroic and manly for molesting, suppress or objectifying women,
let our leading ladies have the fun!! Or else let wrong be wrong , no matter
which sex it comes from and stay neutral rather than justifying a male
character and further inflating male ego and their superiority complex!! But
on a more serious note I don’t think every liberals or feminists comes from a
place of hating men just like how every conservative does not come from a
place of hating women!! Let night he ideologies be used where they are
needed!! Why do people have to be so rigid, timid and regressive as well as
extremists in following an ideology ( liberal or anti-liberal) for that
matter!!! Let’s be more welcoming of change for better and accommodating of
age old traditions which are actually good and holistic!!",CAG
"Other than liberals and feminism the movie has lots of loopholes....if you
don't agree comment back",CAG
I am in awe of your ability to turn every film review into anti-liberal rants.,CAG
eunuch to eunuchs,CAG
"What the fck ""his"" lol stupid i think its her",CAG
"1 - no you are not.. he loves turly so he kissed her infront of family members
in her home what is respectable man to love a women !  
2 - he accepted his ban Coz he knew if he will not so the drinking habbit will
continue so it was a clever desion !  
3 - she slapped so right reason lefting her in someone else arms for night
pleasure ..he could not get any information how she is ..& where is she !  
4 - one of the looser act it was she can't talk her family for own marriage
again here Kabir is moron didn't send their family to convey if his family not
agreed with this relationship so they both leave their home & got court
marriage simple ! Feminists absolutely right !",CAG
"@Shashank Singh then by that same logic films like lipstick under borkha or
veer de weeding also should not be made.. right .. coz it promotes misndric
attitude among woman. ..",CAG
Imagine fight club has been released now. What could be feminists reactions?,CAG
"Yeah right, because tigers can sign a legal contract. Idiot!  
Besides, decriminalizing gay sex doesn't mean gay marriage is legal yet.",CAG
"Why do people take movies so seriously?? Haha.... Just grab popcorn, watch the
movie, enjoy and fuck off.",CAG
"Bhai achha hua un randwo ne Arjun Reddy pe review nhi diya wrna Sandeep wanga
sir apne masterpiece pe in liberals ka reaction dekh Arjun reddy se jyada pina
shuru kr dete😂",CAG
"The problem is not the slap scene... the problem is glorification of it!!! And
on top of it in your own words you said that it is not necessary that men
should always be portrayed as saints in movies accordingly it is not necessary
that women should be projected as pure and innocent! Since men have enjoyed
the screen space in movies from the inception of movies and gotten away with
projected as heroic and manly for molesting, suppress or objectifying women,
let our leading ladies have the fun!! Or else let wrong be wrong , no matter
which sex it comes from and stay neutral rather than justifying a male
character and further inflating male ego and their superiority complex!! But
on a more serious note I don’t think every liberals or feminists comes from a
place of hating men just like how every conservative does not come from a
place of hating women!! Let night he ideologies be used where they are
needed!! Why do people have to be so rigid, timid and regressive as well as
extremists in following an ideology ( liberal or anti-liberal) for that
matter!!! Let’s be more welcoming of change for better and accommodating of
age old traditions which are actually good and holistic!!",CAG
"who in their right mind likes another man's defecation whole that is
disgusting if you're gay smell your hand after you take a dump and tell me
that's what you love sick fucks",CAG
"Bollywood Kabir Singh
Swetabh gangwar bhosdike
Most genuine channel on YouTube",CAG
"@Pratik Borade atleast give some genuine reference, self certified video ka
kya karenge??? And conservative means who embrace culture of nation along with
flaws. Not just with political propaganda of Perfectionism, as in this
universe not is perfect.",CAG
"Dislikes are coming, DISLIKES ARE COMING! I'm enjoying this hate towards this
film, that hate is what keeps us driving on to make more such videos and enjoy
on these femnists and libatrds anger and irritation.",CAG
"NYC with video ... N now a days boys only want tht shit soo call bed tym n all
it's better...",CAG
"Most non sense review . Wrong conception from movie and you.  
Really surprising coz I liked it other review videos",CAG
"Liquor should be totally banned. Administration and police must be strict and
such actions should be dealt with iron hand. People should be alert and aware.
Bengal is fast becoming hell.",CAG
"I don't know y I think she don't know hw to sing bt I respect poor people n I
don't like attitude",CAG
"Leonardo DiCaprio purchase his on screen wife in Wolf of wallstreet.  
feminists = OMG leo is so handsome he deserves Oscar for this.  
Shahid kapoor plays an intense role of kabir Singh  
Feminists = this is misogyny, patriarchy male dominance,
chauvinist,supremacist...L&L",CAG
"It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂..
Thoko like",CAG
"The problem lies in the fact ki banda pyaar me dil todwaane ke pehle bhi waisa
hi tha. Random slaps are not heroic whether coming from a man or woman and
there is no consent at knife point.",CAG
"those who r promoting this, i wish their parents were also in favour of that
so those stupids wouldn't have been born.",CAG
"And yes movies do affect human behaviour, especially if that human is an
Indian.

Long back there was a case in Australia where a man of Indian descent was
charged for stalking and harassing a woman. He told the court that he learnt
all that from bollywood movies and the court, on finding that bollywood does
portray men and women in such a toxic manner, buried him.

Yes, movies do affect our behaviour.",CAG
Ofcourse the acting is bullshit but the message is Gud,CAG
"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster.",CAG
Accorded right bro he has some serious issues with feminism,CAG
"Now, remember these English speaking monarchy minded Congress and hippocrate
Communist have to polish shoes of common people and they will get room below
shoe to take rest.",CAG
"Sir I truly hated this movie because I really face kabir singh in real life
and face and bear all the consequences .",CAG
"Bravo Jahangir Bhai...great job...let law, police and these bloody feminists
learn lessons...men will be men...I don't see any problem with his anger...he
did right...congrats ...",CAG
Agree with you!! Nowadays femisnists do such things just to get attention!,CAG
"There is nothing that I can consider as dance. It seems gradually after few
moments someone feels chulkani & khauzani.",CAG
Ranu mandal is very bad woman,CAG
"Four more shots was hopeless.. I don't understand how people can like such
bullshit..  
I watched arjun reddy instead when kabir singh released. I thoroughly enjoyed
the movie. The acting was superb by vijay and shalini. Actually bollywood can
not even come up with a really good story that they end up making remakes.
What bollywood makes is shit like soty2, Race3, dhamaal, namaste England etc.
No story only glamour and sex talks that's all.",CAG
"More we look at this woman Arundhiti , Am convinced , she is the reincarnation
of Ravan's sister Supernkha..",CAG
1.7k dislikes by librandu dogs 😂... Sukooooon.....,CAG
"According to them it has a bad impact on society as it is glorifying alcohol
and drugs..like after watching gangs of wasseypur people started killing on
roads randomly 🤣",CAG
"when i saw this movie on the first day a book my air ticket for Hyderabad,
when i came here i found a pic of her with her friend that is called he is my
best friend only and we didn't do anything. My life fukcs me daily here and
after 3months of the incident she broke up with me.",CAG
"Bhai bahut sahi Kaha aapne. Liberals and feminists have become clowns of the
world. They have problem with everything. I'm a big fan of you and your
honesty.",CAG
Bollywood is immature ironicly its distructing us,CAG
"According to Rajdeep, freedom of speech is for every citizens. BUT not applied
for Army General Rawat. 😢",CAG
"The main point of the movie was about a guy with anger issues who is unable to
move on from someone whom he truly loved. They are separated because of the
prevailing stereotypes. Sandeep Reddy Vanga has studied psychology himself,
and he beautifully presented a story about a brilliant and intelligent
surgeon’s downfall and his resurgence. The scene where he doesn’t want to
plead not guilty because his professionalism is the only thing his father
respected about him is very emotional and brings out the good nature of
Kabir/Arjun.  
  
But liberals ko ye nahi dikhega. We live in a country where student life in
college is shown in expensive cars, flashy dance numbers, with all the
students looking like they just finished FHM or Maxim photoshoot but despise a
film about a true and genuine love story!",CAG
"bro i am watching yo first time and you wont beleave that you was looking like
jaani dushman villan",CAG
That is not ranus fault that is her education fault,CAG
"Didn't see a video so demeaning of lgbt and women alike... U guys should be
ashamed! Which day n age r u living in? Hope I cud spam such videos.",CAG
@Pratik Borade Lekin Pratik sir I am against glorifying him,CAG
OMG!!! 2k dislikes from designer liberals and feminazis 🤣🤣,CAG
"@Kya Bolta Hai thanks bro. But I don't want to watch a movie which glorifies
alcohol abuse and toxic masculinity. The trailer itself creates anger in my
mind. Better to skip it. Don't have anything against others who watch it.",CAG
We should never suppress a totally depraved wacko like Arundati!,CAG
"@shahzeb khan  
  
Jehadi spoke",CAG
"l g b t is not gud for anyone because the meke a very bad desses Wich harmful
for non LGBT its too dangerous for comen people",CAG
"Also it depends on the audience how they take the movie. Actor was a freak and
because of that he had to deal with the repercussions but people fail to see
that but condone the dominant behavior of the actor. Also don't count every
feminist in that stupid category. I appreciate the romance but not the madness
after breakup.",CAG
"Why do people take movies so seriously?? Haha.... Just grab popcorn, watch the
movie, enjoy and fuck off.",CAG
Shitty story. One transgender is going to have x with a gay man?? 🤣🤣🤣,CAG
That is not ranu mondal fault... That is her Educational problem,CAG
Who are these people who dislike even before watching ?,CAG
Your views are not.....globally correct....fr a women...,CAG
Pseudo feminism has become a trend ..... and actual feminism a myth,CAG
"I totally agree on all the points highlighted by u sir, but i would like to
add a point. According to me the movie exhibits why one shouldn't be like
kabir. It unveils how a person looses everything he loves just bcoz of his
attitude and reverts only after slight improvement in hid attitude",CAG
"[#BestReviewer](http://www.youtube.com/results?search_query=%23BestReviewer)!🔥  
[#Logical](http://www.youtube.com/results?search_query=%23Logical)  
These feminists and liberals are...immature....don't know,why do they go to
watch adult movies when they are not matured.",CAG
Overacting,CAG
"@Dushant Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what
the director and the story telling has to offer.... it's about understanding
the Movie not Making all the things shown in the movie to the heart.",CAG
"Didn't see a video so demeaning of lgbt and women alike... U guys should be
ashamed! Which day n age r u living in? Hope I cud spam such videos.",CAG
@ajay singh By using this trick they are trying to divide us..,CAG
"Seems like arundhuti's mother lied to about her father also , I mean whom she
thinks her father 🤣",CAG
"@Pratik Borade bro i have master's degree in physics from IIT kgp. Seriously
dude you should reads books. I am not even laughing at you. I feel pity . I
feel pity for myself for wasting my time on some dumb YouTuber. Hasi ka patra?
Some one pls just kill me I can't take it anymore",CAG
"Bollywood Movie Makers:Copy+Paste=Profit and making indians chutiya ,oh ! They
already are..  
Just give them a copy paste and these assholes will laugh like a nigha in
theatres.",CAG
"if movies are like our real life why making movies then ? no entertainement ,
unique problème is just we have to learn that this is not reality and we have
to stop being madarchod",CAG
Pseudo feminism has become a trend ..... and actual feminism a myth,CAG
"Are u a Movie reviewer ?? Or social activist ??? Pls review Movie keeping your
political and social agenda aside",CAG
"Proud of Being a Muslim and a Pakistani.Indian Human are out of my mind...LOL  
Pakistan Zindabad",CAG
"All producers be like...
.
.
.
Bhos...ke🙈🙉🙊",CAG
"This is Kaliyuga....  
Pseudo and Fake Liberal Women are digging their grave......",CAG
"South Indian movies also remake Bollywood movies , but yeah most flims of
Bollywood now are shit",CAG
I disageee with you on this one..,CAG
Kill these bastards tooo...,CAG
Respect others..,CAG
"I was hating this movie to the core. Because people were all out making arjun
reddy/kabir singh as hero and overlooking the self-destructive habits he had,
in a way validating them. But the way you have tried to explain it, i want
every viewer to take a note of this. That kabir singh is an imperfect human
and we should realize every bad habit of his as bad and good traits of him
should be appreciated too. Considering him so great, publicising him as a
macho dude is in a way whitewashing every wrong thing in him and due to this i
was very uncomfirtable. I cant see the youth taking inspiration from this and
getting into drinking or drugs. There was no liberal or feminist agenda behind
it. So not everthing is about liberalism or feminism.",CAG
"1.4 dislikes,omg!! Feminist and liberals are triggered very badly😫😠😠😠😠",CAG
"Awesome tha sir loved it  
these so called famists are ruining the value of relationship and meaning of
commitment",CAG
"Everything you said is accurate and 100% correct except we Indians still
haven’t developed as a society where people can genuinely practice your views.
2-5 year old girls are getting raped in this country. Colleges are filled with
10-20 goons. There isn’t anything wrong with the movie, you and I know what
message our youngsters gonna interpret. I have two friends who committed
suicide for love in college. “Tere Naam” is no distant memory either",CAG
"Dada Ranu Mondol maap er bairer mal....oke niye alochona kora tai bekar time
nosto kora.....chara r ki6u noy",CAG
Emotions must be analysed. Or you're literally the slave of your emotions.,CAG
We should never suppress a totally depraved wacko like Arundati!,CAG
"Did Rajdeesp know that NRP was already discussed debated and passed in
Parliament house  
He says he not like word urban Naxal  
Did he ever condemn chowkidar chor of rahul gandhi",CAG
Being kabir singh is chutiya in real life,CAG
Back to railway station,CAG
Wow! She looks like a deranged homeless person!,CAG
"i m 13 reasons why these days and indians nees to watch these kind of shows or
movies. it was such a nice experience , it was so deep that i dont know when i
will be over from this these series and i hope that time dont come.",CAG
"They killed husbands parents....they destroyed life of this man.. so they have
to be punished like this totally agree",CAG
"This likes short movies inhanse the crimes so cheap india and cheap their
movies",CAG
"If films influence societies then Kabir Singh marks the beginning of a dark
society",CAG
"totally wrong story...i doesn't happens..he shouldn't killed his wife...He has
to tell his wife everything about him rather than to do this crime...i think a
real gay couples never do [this.It](http://this.it/) was just imagine story
that doesn't exist nd can't happens in real [life.so](http://life.so/) i don't
like this movie.. That's why l'm disliking this movie.",CAG
"What the fck ""his"" lol stupid i think its her",CAG
If man thinks without any involvement of sex the world would be different,CAG
"It's just a movie. Take it as an entertainment material. Don't try to make a
publicity stunt.",CAG
Bad message and a bad film,CAG
@Ŵèřęŵøłf • more subscriber does not mean big brain!,CAG
"Just what you need... when you watch a hyped movie and you are the only person
who see absolute nonsense in the characters of the leads... and when you speak
the same to people around it’s all about Shahid ki movie thi.. absolute
rubbish ideas being served in the society via movies....",CAG
"This film about gay people is rubbish. How could you come up with a horrific
video like this. Shame on you.",CAG
'toxic' is the new 'sexy' 💪,CAG
"Bhai achha hua un randwo ne Arjun Reddy pe review nhi diya wrna Sandeep wanga
sir apne masterpiece pe in liberals ka reaction dekh Arjun reddy se jyada pina
shuru kr dete😂",CAG
All it takes is one Malayali woman to bring down the entire nation.,CAG
"I think Bollywood people feel threatened by the south Indian film makers...
That's why they comment nonsensical stuff",CAG
Gay sex should be banned..........,CAG
"People who says that ""movies don't affect in real life"" don't know that we are
Indias and we made temples of actors and we prey them like a god.",CAG
"I congratulate the brave husband for taking such a brave act. I am also the
victim of 498a. I cant take this step for the sake of my son who is under her
unlawful custody. Since one and half year I am suffering from this agony. I
will fight till the end but not compromise.",CAG
This guy is mad...have no basic understanding...,CAG
"Is anyone out there in the Bollywood daring to make a path breaking
psychological or sci fi thriller without imposing any propoganda or portraying
all men as stupid lovers like they have nothing to achieve more than their
soulmate that too without imitating a Hollywood movie?",CAG
"Arundhati Roy is a female. When census people come to her she should tell her
name as ""Kungfu Kutia"" not ""Kungfu kuta"". At least should have knowledge of
gender.",CAG
"And by talking about real man? Did you mean real man don’t cry or don’t feel
painful from the hurtful situation ? These things are not clear? You just
don’t liked the character portrayed and you are making blanket opinions.",CAG
Agree with you!! Nowadays femisnists do such things just to get attention!,CAG
@Pratiksha Tripathi I am not serious even about my existence didi,CAG
"Mfs Saying Kabir Singh has toxic masculinity, where were you when Ranjhanaa
was released, that Sonam slapped Dhanush unnecessarily isn't that toxic
femininity, take Judaai for instance, sells Husband for money, is that ethical
and good for a man coming from a woman",CAG
"Pratik sir please make a video on how marriages in India are being ruined by
laws brought by feminist e.g. IPC 498a , DV laws etc how these maintenance
provision are used how husband and their families are harassed. Please check
misuse of IPC 498a. And how some NGO and lawyers are lobbying for bringing
more laws to ruin marriage and harass men",CAG
@Pratik Borade Lekin Pratik sir I am against glorifying him,CAG
"@Meghna S you are mixing things..Sanju was a biography.. And the director had
to show Sanjay duty's life.. so ppl have truly criticised Sanjay dutt for
doing wot ever he has done in lyf.. But this one is a fictional movie.. Here
director had the scope to show wot ever he wanted to show..  
Working with mass media is a great responsibility.. Director s should be more
careful about that.  
Are regarding hypocrisy.. we should learn to respect every kind of opinion..
judging people's opinion and tagging them with names are unnecessary..  
This channel specifically is to review movies and we all come here for that..
Do you really think this kind of vedio was necessary??  
Or shall we take it as a paid publicity stunt!!!!",CAG
"All producers be like...
.
.
.
Bhos...ke🙈🙉🙊",CAG
"Tht uncle who is shown at
[0:52](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=0m52s) looks like those
uncle pedo's who fucks lil boys from his family.",CAG
Politics + Media + Religion + nuclear weapons = destruction,CAG
"Initially he talks about hindu and other topics ......  
What about background music, cinematography, music, character....",CAG
"Not liberal opposing but people of Bajrang Dal, Shiv Sena, Karni Sena & anti
romeo squad gang opposing the movie",CAG
