Text,Sub-task B
"At that time of its releasing date, I decided to watch ARTICLE 15, and truly,
it is much times better than KABIR SINGH, even many of my friends critised me,
for that I dont know what feelings are? What love is? I will repeat again,
many of us don't have the gut to watch and accept the truth showed in ARTICLE
15. And for sure KABIR SINGH is a garbage. Because it destroyed true meaning
of LOVE. Awesome video Shwetabh Sir💁‍♂️🙋‍♂️",NGEN
"You said exactly what I wanted to say. In fact usually I don't watch love
stories but I came across a review by a feminazi who bashed the movie. I
immediately decided... ab toh zaroor dekhunga 😈",NGEN
"You're right shwetabh  
.....Ayushman is great future of Bollywood 👌 ✌",NGEN
😠 disgusting,NGEN
thank you,NGEN
"Real love? Commitment?! R u serious?!First time seeing a girl, and declaring
woh Meri bandi Hain!! And glorifying it!! Clap to you !!",NGEN
Loved this video 😂😂😂,NGEN
Your tshirt is awesome bro,NGEN
"And what about random senior coming to class and changing seating 😒 were in
reality u need special supreme court order then only students will b like ok i
will sit there",NGEN
"Your opinion exactly matches with my opinion when I have seen Arjun reddy.
Original version of Kabir Singh. It's the dumbest film lack of heroism.",NGEN
Hat's off to you bro ......absolutely right,NGEN
This channel gives me hope.,NGEN
"1 feminist is on trending list , this is reply to her & u nailed it sir",NGEN
Bankrupt intellectual,NGEN
"totally wrong story...i doesn't happens..he shouldn't killed his wife...He has
to tell his wife everything about him rather than to do this crime...i think a
real gay couples never do [this.It](http://this.it/) was just imagine story
that doesn't exist nd can't happens in real [life.so](http://life.so/) i don't
like this movie.. That's why l'm disliking this movie.",NGEN
Arnab is deception making,NGEN
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 true,NGEN
"Government should immediately put AR behind bars for giving such illegal
suggestions. Kasturi Shankar seems to be an actor without brains. Plz do not
call her again, very stupid comments from her...",NGEN
Most honest review of a movie i have ever seen,NGEN
"Ok , ok
But why so many abusive words.",NGEN
"hello my self sumit from india. from kolkata. i just wanna say you are most
beautiful porimam. bangladesh is most beautiful country. and having a lots of
lovely people. so porimam you are looking very nice. i am your fan sumit.",NGEN
very bad,NGEN
You r great,NGEN
"l g b t is not gud for anyone because the meke a very bad desses Wich harmful
for non LGBT its too dangerous for comen people",NGEN
Hot😍😍,NGEN
THIS REVIEW IS 10 ON 10😘😘❤,NGEN
I mean whoever announced ar as intellect,NGEN
I dont agree with u...,NGEN
Bollywood is illuminati😂😂,NGEN
"enough in the name of freedom of expression...such misusers must be brought to
books....",NGEN
"@Aspect Kracken we would love to know your opinion about Veere Di wedding. How
many girls became like those 4 from the movie??",NGEN
"Feminists are doing nothing but promoting the movie further... 😂  
N we know the movie is amazing ♥️🌸",NGEN
Feminism should convert to islam,NGEN
"Sir you are a great sir I have a request please watch geetha govindam telgu
movie and give your opinion please sir",NGEN
Thankyouuu so much,NGEN
😂🤩 nice t-shirts,NGEN
"Bhai bahut sahi Kaha aapne. Liberals and feminists have become clowns of the
world. They have problem with everything. I'm a big fan of you and your
honesty.",NGEN
"@Samy ThakurYou are just turning a blind eye on the real issue.Feminism now
doesnt mean equal rights,now it's just a way to spread hate.check any recent
event and while we are at it liberalism too has become just a word but what
these liberals are doing is trying to break India",NGEN
"Some things are true but i feel he is exaggerating. Har kisi ki personality ek
nhi hoti. Some people are impulsive",NGEN
Trailer hi jhand tha. Bollywood is garbage except 10 ℅ movies,NGEN
Love the way that boy was crying..haha,NGEN
Yeah right,NGEN
"willing to respect or accept behavior or opinions different from one's own;
open to new ideas --------of course this is the worst thing? Pratik ? we
should be not respect others, see other's view or open to more ideas
??????????",NGEN
"Beginning was marked with 'Veere Di Wedding', 'Lust Stories' and 'Four More
Shots'.",NGEN
"I am sorry to say, some people, not necessarily bad people, get energized by
opportunities for anarchy. Burning the place down is not the way to build a
bright new society.",NGEN
Vomit,NGEN
"No one is more honest than this person. He is saving a generation.

HIT A LIKE IF YOU LOVE AND RESPECT HIM.",NGEN
Arundhati Roy should be behind bars,NGEN
Exactly,NGEN
"Best line of this video is
[4:20](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=4m20s) to
[4:30](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=4m30s) 😄",NGEN
Ranu Isa bad,NGEN
"The movie could have been better if typical Indian romantic masala didn't even
involved.",NGEN
What about arjun reddy ??,NGEN
Tu GM🖕🖕,NGEN
Bad woman,NGEN
"Great work  
Hatss of to u sir....big fan of yours😊",NGEN
Vinod Jat hi,NGEN
"if she is not a resident of India , why is a foreigner not charged with a
crime for inciting lawlessness.",NGEN
"Suru Suru but only your dreams.. people from kerala speaks truth, they just
don’t bother and scared of any political shits",NGEN
Review Tumbbad.,NGEN
I totally agree bro,NGEN
"You're always right but there always been a positive aspect for this movie and
that is the performance especially by shahid kapoor. People's are loving to
see the character of kabir and how shahid played it. What I want to say is
shahid nailed it as a character.",NGEN
"@Meghna S you are mixing things..Sanju was a biography.. And the director had
to show Sanjay duty's life.. so ppl have truly criticised Sanjay dutt for
doing wot ever he has done in lyf.. But this one is a fictional movie.. Here
director had the scope to show wot ever he wanted to show..  
Working with mass media is a great responsibility.. Director s should be more
careful about that.  
Are regarding hypocrisy.. we should learn to respect every kind of opinion..
judging people's opinion and tagging them with names are unnecessary..  
This channel specifically is to review movies and we all come here for that..
Do you really think this kind of vedio was necessary??  
Or shall we take it as a paid publicity stunt!!!!",NGEN
"Leonardo DiCaprio purchase his on screen wife in Wolf of wallstreet.  
feminists = OMG leo is so handsome he deserves Oscar for this.  
Shahid kapoor plays an intense role of kabir Singh  
Feminists = this is misogyny, patriarchy male dominance,
chauvinist,supremacist...L&L",NGEN
"Rajdeep such a shame Right to free speech comes with reasonable restrictions
read Art 19(2)",NGEN
Politics + Media + Religion + nuclear weapons = destruction,NGEN
Good very very,NGEN
Your videos are blessings :),NGEN
Joker movie review please,NGEN
So sad,NGEN
I love you girls awesome video i am girl,NGEN
Sabse Best Review..Thanks Prateek Bhai😊,NGEN
Intro 🤣🤣🤣,NGEN
Love it guys😍😍😍😘😘😘,NGEN
"Happy to see that without insulting lgbtq how u made comedy out of it keep it
up guys",NGEN
This many is really funny and most serious joker on TV..,NGEN
Bro killed it😂😂👍👍,NGEN
Correct❤,NGEN
Not cinema...saneema,NGEN
"It's pathetic that a person who cares about this country and its citizens
can't even voice her opinions. All thanks to Modi Bhakts like Arnab!!",NGEN
To Syria or Afghanistan,NGEN
She is fantastic talented singer god bless her for her bright future,NGEN
"we don't expect better than this from the people who watch ""Bhai"" films",NGEN
Godi Media,NGEN
"Now a days you talk more about feminist and liberals rather than taking about
the movie 😂",NGEN
"left my parents, relatives all still i'm afraid, please save me , she slaps me
abuse me so shameful ):",NGEN
"The fact is Kabir Singh or Arjun Reddy is the biggest Threat for the life of
our Youngsters.I advice to all Non sensical Youths Don't waste your Valuable
time for this types of Rubbish Junk Plzzzz.We should Boycott Bollywood.If
anyone agree than thoko like👇👇👇👇",NGEN
So true 💕,NGEN
"I keep stay away from such movies
[13:26](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=13m26s) best ^_^",NGEN
Really liked the way u talk,NGEN
"Bhai achha hua un randwo ne Arjun Reddy pe review nhi diya wrna Sandeep wanga
sir apne masterpiece pe in liberals ka reaction dekh Arjun reddy se jyada pina
shuru kr dete😂",NGEN
Heros at its highest peak.... 😁 😂,NGEN
"Bhai mujhe ye liberals and feminist kahi nazar nhi aate ,ye h kon ,can anyone
explain?...",NGEN
Kill them!! Almighty push,NGEN
<https://youtu.be/yNdB772uAsU>,NGEN
"Hii Pratik ji...I really liked your video and I too agree to your perspective.
I watched the movie today and I don't feel that it's anyway hurting 'the so-
called feminist ego'. Instead the entire movie is all about acknowledging the
character Kabir's issues, faults mistakes, failures and his unconditional love
for Preeti. The culmination of the movie speaks for itself.. wherein a changed
Kabir, fully in realisation of his blunders finally meets his love of his life
Preeti, who is Not The Victim but the final and true saviour of Kabir. I
really don't support the so-called feminism which is now seen hovering in the
air. Instead I support true feminism--equality for both the sexes, male as
well as female without any kind of discrimination on any ground. Also,
negative values are negative for everyone.. Irrespective of men and women.",NGEN
"This Roy lady should not be allowed to enter India ban her she is dirt messing
with true Indians Jaihind",NGEN
"university topper  
all india topper  
world topper  
universe topper",NGEN
RIP Kabir Singh....,NGEN
Hotxxx,NGEN
"why not arrest them ? I know that census was done incorrectly during UPA. that
is why they are in so panicked now.",NGEN
Nise,NGEN
Hyy love............,NGEN
"[13:50](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=13m50s)  
What a sarcastic explanation 😂😂😂😂😂",NGEN
You r so amazing guys...love u,NGEN
Supporters of pak n chaina,NGEN
Nice review,NGEN
BANDiSHALA pls pls,NGEN
"Great . I was wanting u to make video on this. Shahid acting was good. But
movie can provoked many teenagers.. that is nt good",NGEN
Cmon man accept what is right,NGEN
Indians are obsessed with movies,NGEN
"Do u comment the same in every movie which shows toxic feminity? Or at that
time u think that *yaar ye toh sirf movie hai? *",NGEN
Music is soooo funny 🤣😂🤣😂🤣,NGEN
i am gay 😊 18,NGEN
"Good review brother! You have understood and analyzed the emotions correctly.
Dumb people Need some brain and heart to understand this movie. Good wishes
and huge respect ✊ from telangana 👍🏼.",NGEN
Can i talk to u once??,NGEN
Biggest chutyea on YouTube,NGEN
Ranu u r Randy,NGEN
"Hot
<https://youtu.be/RavH920LPIM>",NGEN
Bigger is bigger,NGEN
"Lmao 🤣🤣🤣 Bhai World doesn't revolve around these bunch of fools, the best
thing we could do is IGNORE and PROGRESS, all they want is attention! if we
don't give that THEY'LL CRY . let's promote and practice our culture ,
sanathana dharmam full on! we'll progress. you know what watch the some of the
best Telugu films which is filled with our culture, and few movies are old but
make reviews on this people will watch and admire it and i'm sure you'll enjoy
it ,  
  
  
\- SHANKARA BARANAM,  
-SAGARA SANGAMAM,   
-GODAVARI, KHALEJA,   
\- SWATHI MUTYAM",NGEN
It's a passionate love story...,NGEN
Wow wow,NGEN
right bro from dubai,NGEN
Nice video😜😜,NGEN
"I see every time ""four shots more"" and ""Veer de wedding"" for jerking off only
. But for pure emotions and real love I see these movie. Thats the truth",NGEN
"Is Arundhati in league with the Wahabi  
Groups trying to dismember India?",NGEN
@Bangladesh everyday who the hell are you it,NGEN
"This movie has given a damn tight slap on  
fake feminist a.k.a liberals.......  
Metaphorically relating to SUCHARITA..",NGEN
Yrrrr Saurabh let the Sardesai speak. Don't disturb him ....,NGEN
Bhai I hv seen arjun reddy owsm movie and,NGEN
"I am not a liberal and certainly not a feminist. But still i didnt like this
movie..",NGEN
I thought that only I was saying it is overrated,NGEN
"who is this lady KASTURI ,why is she here",NGEN
Yes bo,NGEN
LMFAO,NGEN
You lost 8 assembly election in last one year.,NGEN
Arman do you know what's a debate?,NGEN
Nice vidoe,NGEN
"I did not find anything bad or objectionable, original movie Arjun Reddy is a
very beautiful film. Meaning of actual love. Love is one of the pure and the
strongest thing in the world.",NGEN
আই লাভ ইউ পরীমনি,NGEN
judgemental hai kya is different one u ll like it bhai :),NGEN
"Yess i liked the performance of ONLY shahid... But hated hated hated this
shitty movie... I hate it more after watching it's director's interview with
film companion... He's crazzzy and himself a Kabir minded",NGEN
After few years rape will also become positive activity...,NGEN
U r giving wrong message about gays,NGEN
@Nurislam Molla right,NGEN
Bollywood is immature ironicly its distructing us,NGEN
Bad message and a bad film,NGEN
**2K feminist disliked the video**,NGEN
"Why isn't it? Grown ups can have consensual sex & even live together if they
want",NGEN
"Stop fucking to give knowledge on everything on Television debaters out there
everybody. New India knows how to handle such person now. Just wait and watch",NGEN
Joker review! Love from Pakistan,NGEN
"You should research on what is feminism and feminazi rather than spreading
your illogical views.",NGEN
"Loved it❤  
And subscribed successfully",NGEN
Some lines were😂😂😂funny but true..,NGEN
Hii ravi,NGEN
Superb pratik sir....Nice for this review 👍👍,NGEN
"best review my friend ... absolutly right , it is the biggest problem in these
days",NGEN
"A . Roy must be funded very heavily that why she has time to spread hate in
this beautiful country India",NGEN
i m following you from past 3 years,NGEN
"Doggy ran.
.........",NGEN
Superb guys 😅😆😊osm,NGEN
@Ŵèřęŵøłf • more subscriber does not mean big brain!,NGEN
Oooo,NGEN
Supar😉😉😉😉,NGEN
"make it short yar,, don't need ur Discussion and Philosophy Explained",NGEN
"To be honest. Your thinking is your own opinion.. it does not mean it is
fact/reality. though i respect your opinion i think u shuld also learn to
respect other opinions as well.",NGEN
Ap ki t shirt 😂😂😂 by the way good review,NGEN
I am also too.,NGEN
"Shwetabh is the new kabir singh
Vana vaun vaun Vana vaun vaun",NGEN
Ayushman khurana is the only hope for bollywood,NGEN
Very late review but interesting and you're right,NGEN
Nic,NGEN
Superf,NGEN
fuck you . my fal and your face .fuck YouTube girld,NGEN
"No talk for G.D.P.  
No talk for jobs.",NGEN
"I am someone who is for equality. I hated four more shots. don’t know much
about campaigns run my feminists. I am so disappointment in you. If you don’t
see what is wrong with the movie you never will. Because of people like you
India will stay divided and girls with continue to feel unsafe.Absolutely
pathetic !",NGEN
Not a movie review...,NGEN
"@Monalisha GOGOI, is there any problem?",NGEN
"But the director was South Indian bro. Not Bollywood. This guy also made Arjun
Reddy and then remade it in Hindi as Kabir Singh. This guy should be thrown
out of film industry🖕🖕🖕🖕🖕🖕🖕🖕",NGEN
7018748435 coll mi,NGEN
Nice...guys.,NGEN
"It’s correct way to serious........or literally This movie is
meaningless...............😇",NGEN
So funny 😂😂 great job,NGEN
"who is this person Kapil ? Why u call him in this debate. He don't know
anything.plz tells him dont  
give his rubbish lectures.",NGEN
"Kapil you do that in America,YOU will go-to detention camp,if you are Lucky
you might end up in GITMO.",NGEN
Yes u r ryt. But dis is india n will remain like dis.,NGEN
60% right,NGEN
Arjun reddy aka kabir singh is a master piece😍.,NGEN
Eagerly waiting for your opinion finally.. 😍,NGEN
"if she was a beggar how can she know English,,,,, and her attitude, o my god
its too much",NGEN
Next sahid Kapoor another telugu remake Vijay devrakonda' movies DEAR COMRADE,NGEN
Please call me I'm waiting okay,NGEN
Ranu Mondal My Foot😫😖😱🤮🤮🤮,NGEN
"Shwetabh is a very genuine guy he makes a video analysis of a movie which has
stopped trending this shows shwetabh doesn't care about views he only cares
about the generation he is trying to make a revolution please be like shwetabh
😊",NGEN
Nice review 👍,NGEN
😊😱😎Super Bro...😎😎😎,NGEN
Wow nyc review.well explained,NGEN
who cares activists......Don't give them too much emphasis on them....,NGEN
"Nupur even though ur point is right ur so bloody irritating. Shut up listen
and then speak",NGEN
@ching pong 😂,NGEN
Gays are not villains.,NGEN
Mulshi Pattern Review pls,NGEN
Best Movie,NGEN
"Did Rajdeesp know that NRP was already discussed debated and passed in
Parliament house  
He says he not like word urban Naxal  
Did he ever condemn chowkidar chor of rahul gandhi",NGEN
You share my feelings bro.,NGEN
"@DEV SHARMA i jst said tht🙄  
My point wass tht shewtabh sir didnt mention shahid or his acting he was jst
talking about tht character which the writers created....",NGEN
Hi I like 😙😙,NGEN
Very nice review sir😘😘😘😘😘😘,NGEN
Am feeling bad for this boy !!,NGEN
"After watching this movie  
 __i started smoking___",NGEN
"Who the fuck are you to judge. Let the peolple should be who make it a
blockbuster in both versions telugu and hindi",NGEN
U r ryt bro,NGEN
I am Waiting for this video 😇🙂😂,NGEN
100% Similar opinion. 👍👍,NGEN
nice review,NGEN
"Two wrongs dont make a right... Just because no one criticised the other films
doesn't mean we support this idiotic piece of fiction . Does the woman in the
film have no self respect. Why can they not show ... She ditches him in the
end and he repents his actions... ! Jithe chukta tithe chukla it has no
feminism angle...",NGEN
People are buying bullets,NGEN
"@TreBonjour his father brings him in and then sends him on a friggin vacation.
If it ended with him not having his license and having to survive without help
from his dad, it would be an actual consequence.",NGEN
"The complete message social relationship for young generation movie. Nice
trying",NGEN
"Sir, you are amazing ..",NGEN
"Probably the most wrong video on YouTube ever. Seriously what kind of
intuition or message is cascaded by this.Get this video down.",NGEN
porimoni mad,NGEN
"I was expecting this from u I have seen this movie but I was waiting for ur
views !!!",NGEN
why does bjp bhakts thing that arnab is always right,NGEN
Mashallah don Islam dermo it,NGEN
The girl's attitudes and conversations are very beautiful,NGEN
"Actual review of the movie starts at
[7:42](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=7m42s) 👍👍",NGEN
"Totally agree with you brother , you understand movie so well 🙌🏼🙌🏼🙌🏼",NGEN
Your right,NGEN
Well done...,NGEN
"she is intellectual?  
damn she should be in jail",NGEN
I Agree with you Sir👍👍,NGEN
"Please make a complete RAW ANALYSIS ON THE MOVIE ""JOKER""",NGEN
I like your talking & ranu mondaler ashob kotha gulo bolar thik hoi ni,NGEN
Supar 😂😂🤣🤣,NGEN
"Hello Partik just watched Spider-Man far away from home I really didn’t
Enjoyed it’s not up to that mark it’s released in New York City so just feel
like to give you review  
  
Rest everyone has der own taste I didn’t like it waste of time 😠",NGEN
location please,NGEN
Unsubscribed.,NGEN
"Hi guys .. need ur support .. I make YouTube videos .. I need ur help .. pls
watch share and subscribe 🙏🏻🙏🏻🙏🏻 <https://youtu.be/IHW3y62SoLI>",NGEN
"Studying 9:00 am to 7:00 pm daily , not taken a day off since 1 month ,
getting closer to my goal day by day 🙏💪",NGEN
AR should be tried under sedation case.,NGEN
Palpendiculal in gow,NGEN
"First Start addressing this Church Bit*h as SUSSANAH which is her REAL NAME
instead of using apeshit names like Arundhati Roy  
She is a CHRISTIAN  
Same like  
Usage of D Raja for Daniel Raja of CPI  
Presstitute media helps them in covering their REAL IDENTITY",NGEN
Kapil needs to study and not be an ignorant fool.,NGEN
Arnab do some debate good for people,NGEN
"@akshay Viswambharan intentional meaning of this comment was kabir singh is a
surgeon(Doctor) and he does strange things. 😂",NGEN
Bhai article 15 best movie of year 2019,NGEN
Please do review on joker which is based on evil of society,NGEN
"Best Reply to feminists & liberals .....!!  
[#kabirsingh](http://www.youtube.com/results?search_query=%23kabirsingh) is a
Best Movie....",NGEN
"Pratik Bhai took these fake feminists and Fiberals to cleaners... Ek dum dho
dala.. This is not politics but facts and your observation spot on 👌",NGEN
Right bro 🙏🙏🙏,NGEN
That's true sir....hats of to u,NGEN
What a dedication for making review,NGEN
Lol... Yeah. You then have no idea what a Surgeon is.,NGEN
"gay boy add me  
+66992346914",NGEN
Joker was a great film...I'm pretty sure shwetabh will give great review,NGEN
hahahahahah,NGEN
Keep growing🙏,NGEN
"I m a feminist.I hate Pakistan based terrorists n separatists.but I don't like
many superstitious rituals like karwa chauth n mangal sutra.I liked movie
kabir Singh.I support army.I hate male narrow mindedness.all. feminists r not
same like all male r not rapist.",NGEN
2nd part plz,NGEN
Ki ato ranu mondol...ranu mondol.....disgusting...,NGEN
"Why do you think west gives nobel prize. It is for people who side with them
and fulfill their agenda.",NGEN
"@pranav gohel akshay is in india only for managing his business the moment his
acting carreer flops he'll take all his money to canada and wont return back
unless to attend events and will send his kids to earn in india too and then
return back to canada with money he has earned here",NGEN
"Similarly liberals also should stop bashing everything else. It's a mutual
coexistence.  
And to be true, liberals are hypocrites. We saw liberals silent during Sanju
movie release, now with Kabir Singh they have problems.  
So really can't trust their motive",NGEN
"Movie revolves around hero only because name of movie is kabir singh and not
preety sikka.😒😒",NGEN
Preeti was a dumbfuck!,NGEN
Plz review,NGEN
"All shits what Kabir do is on behalf of it's perfection in his Skill..  
So do whatever you want but first of all create a strong base on which you can
fall..  
This is also said by S.sir",NGEN
Lol 😋,NGEN
Salute to this Man!!!,NGEN
"I think ur comment is also going to be on NSA(natonal security act) portal
best of luck ......",NGEN
The Undercover Rock Stars excellent work,NGEN
I am tomboy,NGEN
Nice Actress,NGEN
Who are these people who dislike even before watching ?,NGEN
pritam kumar hii,NGEN
"Kabir Singh movie is just for entertainment don't connect to this story to ur
life becoz onscreen and offscreen mai bhut difference hai",NGEN
One of the best video of your channel.,NGEN
"The in-laws of the Bride got paid for their misdeeds. in hindi we call it "" जो
जैसा बोएगा , वो वैसा ही काटेगा l""",NGEN
Nice,NGEN
That is so so so true sir!!!!,NGEN
"Pratik sir at his best👍😂😂👍
[#savage](http://www.youtube.com/results?search_query=%23savage)",NGEN
"I didn't hate this movie......but I can understand ....why people are so much
up in arms against this movie......the problem starts when ...people who
watched this movie....starts to replicate behaviour of Kabir Singh ...in their
lives.....and then pose threat to other people around them......that's where
the core problem stems from....
does someone agree..??",NGEN
You are nice,NGEN
"All dislikes are coming from that type of faminism and liberal chutiya
persons....",NGEN
"These people want our country be destroyed. They only want violence and
destruction in the country.",NGEN
she is best magi.......right now,NGEN
"I was EAGERLY waiting for a review of KABIR SINGH like this. The TRUE fact
nobody is talking about. Every fucking reviewer and critique are praising the
movie which was really weird for me. I think they are all sold out. They just
don't want hate since all the viewers are chutiya and they are going ham on
any video who give negative review on movie. BUT YOU ARE HONEST.",NGEN
😆😆😆l like it ba ba ranu bi,NGEN
Nice video vary good dada,NGEN
Nice short film,NGEN
Yes sahi bola gay in Right,NGEN
I hate too this movie,NGEN
And who the fuck you are,NGEN
Very good,NGEN
"I watched Kabir Singh yesterday , best performance by shahid kapoor
[#Superhit](http://www.youtube.com/results?search_query=%23Superhit)",NGEN
"Most non sense review . Wrong conception from movie and you.  
Really surprising coz I liked it other review videos",NGEN
3 dislikes ....seems three the those wives who have filed false case,NGEN
She is well known Pro.......,NGEN
Right now,NGEN
bro you have great wisdom,NGEN
Right bos,NGEN
Beautiful video,NGEN
"who would listen to u. see the comment section filled with comment in his
support. india is worst place for women is proved by men in comment section.
it very dangerous as well as depressing . india is slowly and steady moving
towards dark age",NGEN
"Honest & Perfect Review Sir, best answer to Film Companion 💓",NGEN
"1 - he loves turly so he kissed her infront of family members in her home what
a respectable man to love a women !  
2 - he accepted his ban Coz he knew if he will not so the drinking habbit will
continue so it was a clever desion !  
3 - in end she slapped so right reason lefting her in someone else arms for
night pleasure ..he could not get any information how she is ..& where is she
!  
4 - one of the looser act it was she can't talk her family for own marriage
again here Kabir is moron didn't send their family to convey if his family not
agreed with this relationship so they both leave their home & got court
marriage simple ! Pethetic shit film",NGEN
Urban naxal spotted,NGEN
This is wrong .,NGEN
"I m extremly feeling bad after watching this..yestrday i commented on Kabir
singh  
  
A weird.heroism  
  
.but now i realised i was wrong..  
Seriously four more shots web series ..veerey di wedding...bs kabir singh.  
An eye opener",NGEN
"This film about gay people is rubbish. How could you come up with a horrific
video like this. Shame on you.",NGEN
"<https://youtu.be/sEOVutUpRA0>  
Pratik bhai my humble request please please listen this...  
I know you understand gujarati very well...you will definitely love it  
🙏🙏💓",NGEN
But the video has a good meaning and hillerious took,NGEN
"Funny how it just happens in North India especially hindi speaking states.
Destroying Hindu culture is fashion, Salman Khan can run over people and kill
animals no one will say anything. So funny north india",NGEN
Very true ! And best analysis covering all things :) great work Bhai .,NGEN
"Subscried bhai.. U said everything thing right, but bottom line is that these
indians mind set never changes..",NGEN
"This movie tells us that if fall in love with someone and she is not with you
than need to do is drink and drink again and again that's all",NGEN
"[16:48](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=16m48s) savage level
100%😂😂😂",NGEN
"Absolutely correct .  
Feminism should mean equal rights for both men and women 🙆",NGEN
I was cried at the end of the movie..... Weeped like a child 😭😭,NGEN
"why isn't she arrested. She must be put behind bars & prosecuted for sedition
& punished as per law .",NGEN
Wht will u debate pathare,NGEN
Pratik Bhai u nailed it. Best video of your channel.,NGEN
"Wow, finally a sane voice amongst the dimwitted imbeciles in the comment
section, bravo!!",NGEN
"Kashmir was independent before partition and it remained independent till now.
Please indians read the contract of kashmir with India. India was only allowed
2 things  
1- Defense  
2- Currency",NGEN
Waiting for book,NGEN
Feminist fuck up🤣🤣🤣,NGEN
"I'm a feminist and I love Arjun Reddy and Kabir Singh...people who think
otherwise have missed the whole point.",NGEN
"Rajdeep true journalist not like ravish Kumar or Arnab Goswami. Both are same
first one leftists other one is rightist but only Rajdeep don't take side he
is true journalist.👍👌",NGEN
Great said,NGEN
Reason to watch Hollywood,NGEN
"Feminism and 3rd wave feminism are two completely different things. 3rd wave
feminism is all about attacking men and misandry.  
And of course Toxic masculinity exists,no one can deny that. 3rd wave feminism
is basically toxic feminism. They're the two sides of one coin.",NGEN
"I agree with you. This is the first video of your's that I am watching and I
completely agree with the hypocrisy of the ultra left liberal feminist
(feminazis).",NGEN
Ye buddi kunhei yar? Arundathi Billy ya kungfu kutta? I can't understand yar?,NGEN
"there should me a law to punish the people who keep false cases....so that
this type of incidents couldn't happen",NGEN
"This anti nation lady is misguiding the peoples and telling lies,arrest this
type of activites",NGEN
That's why I watch your every reviews,NGEN
"This movie is just a waste of time. This Movie is only movie for immature
people who don't distinguished between love and lust.",NGEN
699 Kabirtard dislike the video,NGEN
@gabru yeah! You're right i agree with you,NGEN
Best vedio,NGEN
10/10 *,NGEN
"I have not watched this movie yet. But watching this video only for Shwetabh
bhai.
Edit - I don't watch indian movies.",NGEN
"Well, I have found something in India, Lesbian girls are soooo beautiful in
this country, do you agree?",NGEN
Faking grill opu,NGEN
"Those are not said with the intention of disrespecting women, if you cannot
see that, maybe you're blinded by the ideas of feminazis.",NGEN
"WE CAN UNDERSTAND PEOPLE LIKE HER HAVE THEIR OWN STUMOC TO FILL AND NEED
SOMETHING TO DO FOR THEIR LIVELIHOOD. BUT BETTER THEY SEARCH FOR OTHER DECENT
BUSINESS FOR THEIR LIVELIHOOD",NGEN
God please give him past life,NGEN
Ranga Billa parents of leftists and lutians.....,NGEN
You changed your channel name!,NGEN
I hate Bollywood movies 😬😬😬😬,NGEN
"It's been 9 years that i went to cinema hall... Because all the nonsense
garbage is in film industry",NGEN
Here me too,NGEN
"She is funded by foreign agencies, incl China and Pak. Don't believe a word
she says. She is foreign citizen.",NGEN
Acting.. Direction..Music. Back ground ch .. Screenplay ch sanga na,NGEN
Where is the review of kabir Singh..,NGEN
"Akshay Kumar pe video banao that how he's making fool of public by making
patriotic movies.",NGEN
Dude atleast trim properly,NGEN
well done .,NGEN
"Illiterate Feku the Chaiwala and Amit Gunda is destroying the democracy of
India",NGEN
RX-100........Tamil movie...u should watch..That was a slap on feminism..,NGEN
Thanos ..... Snape....,NGEN
"I totally agree with you. You nailed it. Kabir Singh should not be celebrated.
It gives wrong message to the people. Finally watch someone criticised this
film with a swag and you raised very valid points. Supporters of this film
will have no place to hide and no counter arguments left.",NGEN
good news agiajuo,NGEN
Hahahahahaaah,NGEN
"One of the best movie of the year and what a acting by Shahid real rockstar
for me 👌",NGEN
"Three words for those liberals who think they can change my mind according to
their view  
""I Don't Care""  
Because I don't permit anyone to impose their thought on me.",NGEN
"I know arnab is govt funded but on this point I agree that arundhati roy not
required in India.",NGEN
"That's the sad truth, most people are easily influenced in India.",NGEN
That's why i stopped watching film companion movie reviews...,NGEN
"Simple....she is funded by People's Republic of China for spreading naxalism
and maoism. She wants India's economic growth to minimize by causing chaos so,
China can easily become superpower after beating USA without having any
competition from India. Every left liberal around the world knows only India
can compete with China economically and militarily which they don't want to
see happening.",NGEN
Dude I watched this movie like last week!,NGEN
nice drama....,NGEN
"My previous comment:  
  
I don't think it's right to forcefully insert topics of feminism and liberals
in every video,  
it shakes the moral purpose of the video i.e. movie review.  
  
  
  
  
  
After watching for 5 mins:  
  
  
  
Your videos are great. You are great !  
  
Jai Hind ! Vande Mataram 🇮🇳🇮🇳🇮🇳",NGEN
Pratik bhai we are with u against liberals,NGEN
Toooooooooo much...respected sir.,NGEN
Only the good movie in Bollywood was ' Baby',NGEN
"@Rohan Jadhav Ya,if dat is the case,then the loser aashiques all over India
are ""cool""....dose unemployed men who drink alcohol and beat thier working
wives are also ""cool""....!!........Quit bullshiting,mate........m sure dat not
even alcohol can cure ur lack of personality.....!!.....",NGEN
"@TANMAY jain did you even watch the video? The first half of the video he was
literally explaining that only.",NGEN
"@jessicagreenwalt 498a is i.p.c. This code shows how to rob husbands house and
destroy the family. This is most uncivilised law of India and this comes from
America and Britain. Look at the divorce rate.",NGEN
